LR	weight
NTF3+NGFR	0.390248243
SFRP1+FZD2	0.342924339
NGF+SORT1	0.320136665
ADAM23+ITGA5	0.297832783
GNAI2+LHCGR	0.287054135
NCAM1+ROBO3	0.227710225
GNAS+LHCGR	0.199883948
SHH+PTCH2	0.192009428
FGF1+FGFR4	0.189379358
TNC+CNTN1	0.163732403
RGMB+NEO1	0.155268063
DHH+PTCH1	0.149419392
PROS1+TYRO3	0.144346678
CTF1+LIFR	0.118234897
MYOC+FZD3	0.116556244
FGF4+FGFR1	0.110503364
EFNA5+EPHA2	0.102531112
LAMA1+ITGB8	0.096941661
CNTF+IL6R	0.091766751
CCL13+ACKR2	0.09106491
EFNA3+EPHB1	0.075746319
DHH+BOC	0.07108922
WNT4+FZD6	0.070501058
WNT3+RYK	0.069514348
TAC1+TACR1	0.050610665
BTC+ERBB3	0.048243241
AREG+ERBB3	0.046962958
NCAM1+GFRA1	0.041820762
DLK2+NOTCH1	0.037116388
CCL13+CCR1	0.03704046
PGF+NRP2	0.034406178
ADAM2+ITGA6	0.028534422
FGF18+FGFR3	0.028438973
WNT5A+ROR1	0.02628097
DCN+ERBB4	0.020174831
FGF22+FGFR2	0.019117619
RBP3+NOTCH1	0.018459631
WNT5A+ROR2	0.013822471
FGF6+FGFR1	0.013627638
C5+C5AR1	0.013118373
FGF19+FGFR1	0.011412111
DLK1+NOTCH1	0.011170984
COL2A1+ITGA2	0.0108553
SHH+PTCH1	0.00988498
ITGB3BP+ITGB5	0.008320514
WNT1+FZD8	0.008257183
FGF23+FGFR1	0.006696438
FGF2+GPC4	0.00656118
COL2A1+ITGA10	0.006492409
FGF23+FGFR4	0.005627359
SHH+SMO	0.00533355
ADAM2+ITGA9	0.005074015
CLCF1+LIFR	0.005066796
IL1F10+IL1R1	0.005004907
FGF23+FGFR3	0.004867492
FGF6+FGFR4	0.00474992
FGF19+FGFR4	0.004588929
FGF21+FGFR4	0.004544148
FGF6+FGFR3	0.004201179
WNT7A+FZD10	0.004041679
EFNA2+EPHA8	0.003785554
EFNA2+EPHA5	0.003784869
WNT1+FZD9	0.003733852
COL2A1+TNFRSF10A	0.00339253
EFNA2+EPHA6	0.003129919
FGF8+FGFR4	0.002955108
KRTAP4-12+CNTFR	0.002862244
FGF16+FGFR4	0.002794855
FGF8+FGFR1	0.002776183
KRTAP4-12+LINGO1	0.002758797
C1QTNF5+MFRP	0.002561373
EREG+ERBB4	0.002488232
EFNA2+EPHA3	0.00240232
WNT2+FZD9	0.002338249
EFNA2+EPHA7	0.002295183
WNT7A+FZD9	0.002232198
FGF19+FGFR3	0.002151923
EFNA4+EPHA8	0.001894646
IL31+IL31RA	0.001708056
EFNA2+EPHA2	0.001698126
FGF23+FGFR2	0.00153803
EGF+ERBB4	0.001510014
GUCA2A+GUCY2C	0.001343265
IL31+OSMR	0.001334936
FGF6+FGFR2	0.001320237
IL12B+IL12RB2	0.001286423
EFNA4+EPHA6	0.001278876
EFNA5+EPHA6	0.001278052
GUCA2B+GUCY2C	0.001205508
WNT3A+FZD8	0.001165925
NRTN+RET	0.001107594
FGF5+FGFR4	0.000986571
COLQ+MUSK	0.000947447
COL2A1+ITGB1	0.000945252
WNT1+FZD3	0.000936723
WNT3A+FZD2	0.00093487
GUCA2B+GUCY2D	0.000933338
SHH+LRP2	0.000841957
GDNF+RET	0.000759161
IL12B+IL23R	0.000740491
FGF4+FGFR4	0.000705644
CSHL1+PRLR	0.000672684
CSH1+PRLR	0.000669514
CSH2+PRLR	0.000667987
EGF+EGFR	0.000554952
IL23A+IL23R	0.000481651
FGF19+FGFR2	0.000411338
RLN3+RXFP2	0.000369706
RLN1+RXFP2	0.000366686
FGA+ITGB3	0.000361223
RLN2+RXFP2	0.000354761
INSL3+RXFP2	0.000307208
MBL2+CALCR	0.000295056
BMP15+BMPR1B	0.000293075
ADAM2+CD9	0.000255217
BMP15+BMPR1A	0.000231085
FGF19+KLB	0.000216088
BMP15+ACVR2A	0.000192395
WNT7A+FZD5	0.000164408
BMP10+BMPR1B	0.000130058
NTN3+CDON	0.00012959
IL4+IL13RA2	0.000122196
FGF23+PHEX	0.000120105
IL13+IL13RA2	7.94E-05
TNFSF11+TNFRSF11A	6.55E-05
IAPP+CALCR	6.07E-05
GDF2+ACVR2B	5.95E-05
IL21+IL21R	3.94E-05
SPINK1+EGFR	3.56E-05
LRP1B+PLAUR	3.15E-05
GDF2+ACVR2A	2.89E-05
PTH+PTH2R	2.85E-05
OBP2A+OR1G1	2.44E-05
RLN3+RXFP1	2.39E-05
PTH2+PTH2R	1.71E-05
LPA+LRP2	1.21E-05
GIP+GIPR	1.07E-05
APOB+LRP2	8.10E-06
IL12B+IL12RB1	8.04E-06
MMP13+LRP1	4.70E-06
